[12/17/2020 08:40:52] [INFO]: Command: display-playlist, User: L061571C5#5281
[12/17/2020 08:41:04] [INFO]: Command: create-playlist, User: L061571C5#5281
[12/17/2020 08:42:01] [INFO]: Command: save-to-playlist, User: L061571C5#5281
[12/17/2020 08:42:07] [INFO]: Command: display-playlist, User: L061571C5#5281
[12/17/2020 08:44:14] [INFO]: Command: display-playlist, User: L061571C5#5281
[12/17/2020 08:45:08] [INFO]: Command: display-playlist, User: L061571C5#5281
[12/17/2020 08:45:24] [INFO]: Command: display-playlist, User: L061571C5#5281
[12/17/2020 08:48:38] [INFO]: Command: display-playlist, User: L061571C5#5281
[12/17/2020 08:49:14] [INFO]: Command: lyrics, User: L061571C5#5281
[12/17/2020 08:51:54] [INFO]: Command: lyrics, User: L061571C5#5281
[12/17/2020 08:52:24] [INFO]: Command: play, User: L061571C5#5281
[12/17/2020 08:53:09] [INFO]: Command: play, User: L061571C5#5281
[12/17/2020 08:54:14] [INFO]: Command: play, User: L061571C5#5281
[12/17/2020 08:54:25] [INFO]: Command: queue, User: L061571C5#5281
[12/17/2020 08:54:55] [INFO]: Command: queue, User: L061571C5#5281
[12/17/2020 08:54:59] [INFO]: Command: play, User: L061571C5#5281
[12/17/2020 08:55:06] [INFO]: Command: queue, User: L061571C5#5281
[12/17/2020 08:55:11] [INFO]: Command: play, User: L061571C5#5281
[12/17/2020 08:55:16] [INFO]: Command: queue, User: L061571C5#5281
[12/17/2020 08:55:30] [INFO]: Command: leave, User: L061571C5#5281
[12/17/2020 09:06:18] [INFO]: Command: weather, User: L061571C5#5281
[12/17/2020 09:06:25] [INFO]: Command: weather, User: L061571C5#5281
[12/17/2020 09:06:36] [INFO]: Command: weather, User: L061571C5#5281
[12/17/2020 09:06:47] [INFO]: Command: todayinhistory, User: L061571C5#5281
[12/17/2020 09:07:03] [INFO]: Command: play, User: L061571C5#5281
[12/17/2020 09:07:13] [INFO]: Command: play, User: L061571C5#5281
[12/17/2020 09:07:19] [INFO]: Command: queue, User: L061571C5#5281
[12/17/2020 09:07:24] [INFO]: Command: my-playlists, User: L061571C5#5281
[12/17/2020 09:07:30] [INFO]: Command: display-playlist, User: L061571C5#5281
[12/17/2020 09:07:56] [INFO]: Command: ip, User: L061571C5#5281
[12/17/2020 09:28:57] [INFO]: Command: display-playlist, User: L061571C5#5281
[12/17/2020 09:29:05] [INFO]: Command: help, User: L061571C5#5281
[12/17/2020 09:30:31] [INFO]: Command: display-playlist, User: L061571C5#5281
[12/17/2020 09:31:06] [INFO]: Command: lyrics, User: L061571C5#5281
[12/17/2020 09:31:54] [INFO]: Command: play, User: L061571C5#5281
[12/17/2020 09:31:59] [INFO]: Command: play, User: L061571C5#5281
[12/17/2020 09:32:03] [INFO]: Command: queue, User: L061571C5#5281
[12/17/2020 09:32:10] [INFO]: Command: queue, User: L061571C5#5281
[12/17/2020 09:32:15] [INFO]: Command: play, User: L061571C5#5281
[12/17/2020 09:32:22] [INFO]: Command: queue, User: L061571C5#5281
[12/16/2020 18:50:39] [INFO]: Command: urban, User: virus#8013
[12/16/2020 18:50:46] [INFO]: Command: urban, User: virus#8013
[12/16/2020 18:57:28] [INFO]: Command: messagedel, User: L061571C5#5281
[12/16/2020 18:57:42] [INFO]: Command: messagedel, User: L061571C5#5281
